Op 0:  IFM: 27648  OFM: 73728  Buf: 0  Total: 101376
Op 32:  IFM: 20736  OFM: 10368  Buf: 0  Total: 31104
Op 33:  IFM: 10368  OFM: 10368  Buf: 20736  Total: 41472
Op 34:  IFM: 20736  OFM: 10368  Buf: 10368  Total: 41472
Op 35:  IFM: 10368  OFM: 10368  Buf: 31104  Total: 51840
Op 36:  IFM: 10368  OFM: 10368  Buf: 31104  Total: 51840
Op 37:  IFM: 10368  OFM: 10368  Buf: 31104  Total: 51840
Op 38:  IFM: 20736  OFM: 10368  Buf: 20736  Total: 51840
Op 39:  IFM: 10368  OFM: 10368  Buf: 41472  Total: 62208
Op 40:  IFM: 10368  OFM: 10368  Buf: 41472  Total: 62208
Op 41:  IFM: 20736  OFM: 24336  Buf: 31104  Total: 76176
Op 42:  IFM: 24336  OFM: 20736  Buf: 31104  Total: 76176
Op 43:  IFM: 20736  OFM: 10368  Buf: 31104  Total: 62208
Op 44:  IFM: 10368  OFM: 10368  Buf: 31104  Total: 51840
Op 45:  IFM: 41472  OFM: 41472  Buf: 0  Total: 82944
Op 46:  IFM: 41472  OFM: 41472  Buf: 0  Total: 82944
Op 47:  IFM: 41472  OFM: 10368  Buf: 0  Total: 51840
Op 48:  IFM: 10368  OFM: 10368  Buf: 41472  Total: 62208
Op 49:  IFM: 41472  OFM: 10368  Buf: 10368  Total: 62208
Op 50:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 51:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 52:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 53:  IFM: 41472  OFM: 10368  Buf: 20736  Total: 72576
Op 54:  IFM: 10368  OFM: 10368  Buf: 62208  Total: 82944
Op 55:  IFM: 10368  OFM: 10368  Buf: 62208  Total: 82944
Op 56:  IFM: 41472  OFM: 48672  Buf: 31104  Total: 121248
Op 57:  IFM: 48672  OFM: 41472  Buf: 31104  Total: 121248
Op 58:  IFM: 41472  OFM: 10368  Buf: 31104  Total: 82944
Op 59:  IFM: 10368  OFM: 10368  Buf: 31104  Total: 51840
Op 60:  IFM: 41472  OFM: 41472  Buf: 0  Total: 82944
Op 61:  IFM: 41472  OFM: 41472  Buf: 0  Total: 82944
Op 62:  IFM: 41472  OFM: 10368  Buf: 0  Total: 51840
Op 63:  IFM: 10368  OFM: 10368  Buf: 41472  Total: 62208
Op 64:  IFM: 41472  OFM: 10368  Buf: 10368  Total: 62208
Op 65:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 66:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 67:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 68:  IFM: 41472  OFM: 10368  Buf: 20736  Total: 72576
Op 69:  IFM: 10368  OFM: 10368  Buf: 62208  Total: 82944
Op 70:  IFM: 10368  OFM: 10368  Buf: 62208  Total: 82944
Op 71:  IFM: 41472  OFM: 48672  Buf: 31104  Total: 121248
Op 72:  IFM: 48672  OFM: 41472  Buf: 31104  Total: 121248
Op 73:  IFM: 41472  OFM: 10368  Buf: 31104  Total: 82944
Op 74:  IFM: 10368  OFM: 10368  Buf: 31104  Total: 51840
Op 75:  IFM: 41472  OFM: 41472  Buf: 0  Total: 82944
Op 76:  IFM: 41472  OFM: 41472  Buf: 0  Total: 82944
Op 77:  IFM: 41472  OFM: 10368  Buf: 0  Total: 51840
Op 78:  IFM: 10368  OFM: 10368  Buf: 41472  Total: 62208
Op 79:  IFM: 41472  OFM: 10368  Buf: 10368  Total: 62208
Op 80:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 81:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 82:  IFM: 10368  OFM: 10368  Buf: 51840  Total: 72576
Op 83:  IFM: 41472  OFM: 10368  Buf: 20736  Total: 72576
Op 84:  IFM: 10368  OFM: 10368  Buf: 62208  Total: 82944
Op 85:  IFM: 10368  OFM: 10368  Buf: 62208  Total: 82944
Op 86:  IFM: 41472  OFM: 56448  Buf: 31104  Total: 129024
Op 87:  IFM: 56448  OFM: 41472  Buf: 31104  Total: 129024
Op 88:  IFM: 41472  OFM: 10368  Buf: 31104  Total: 82944
Op 89:  IFM: 10368  OFM: 10368  Buf: 31104  Total: 51840
Op 90:  IFM: 41472  OFM: 41472  Buf: 0  Total: 82944
Op 91:  IFM: 41472  OFM: 41472  Buf: 0  Total: 82944
Op 92:  IFM: 41472  OFM: 288  Buf: 0  Total: 41760
Op 93:  IFM: 288  OFM: 288  Buf: 0  Total: 576
Op 94:  IFM: 288  OFM: 100  Buf: 0  Total: 388
  Peak Memory Usage: Op 86 : 129024
  Op which_over_mem_cons: [86, 87, 56, 57, 71, 72, 1, 0]

